Restaurant Name,Locality,Longitude,Latitude,Cuisines,Average Cost for two,Has Table booking,Has Online delivery,Aggregate rating,Votes
Food Cloud,Aaya Nagar,0.0,0.0,Cuisine Varies,500,No,No,0.0,2
Burger.in,Adchini,77.19692286,28.53538174,Fast Food,350,No,Yes,3.2,46
Days of the Raj,Adchini,77.19747473,28.53549308,"North Indian, Seafood, Continental",1500,Yes,Yes,3.4,45
Dilli Ka Dhaba,Adchini,77.19803329999999,28.537547200000002,"South Indian, North Indian",500,No,No,2.6,11
Govardhan,Adchini,77.19692420000001,28.5355234,"South Indian, North Indian, Chinese",500,No,Yes,3.4,238
Mezbaan Grills,Adchini,77.1981225,28.5381335,Mughlai,400,No,No,3.1,8
Say Cheese,Adchini,77.19815936,28.53744768,Fast Food,400,No,Yes,2.7,64
Southy,Adchini,77.19795015,28.53747419,South Indian,450,No,Yes,2.6,113
Monosoz,Adchini,77.19804244,28.53839431,Pizza,300,No,Yes,3.7,66
Waves,Adchini,77.1988082,28.5386662,"North Indian, Chinese",1500,Yes,Yes,3.5,141
Delhi Darbar,Adchini,77.19696745,28.53576259,"Chinese, North Indian",500,No,No,2.2,77
Chateau,Adchini,77.19679244,28.53565508,"Mediterranean, Italian",1600,Yes,No,4.0,40
Nariyal Cafe,Adchini,77.199152,28.538438,"Continental, Seafood, Goan, Andhra, Kerala, Thai",1200,Yes,No,4.2,46
Rustom's Parsi Bhonu,Adchini,77.19815668,28.53789627,Parsi,1500,Yes,Yes,4.2,665
BarShala,"Aditya Mega Mall, Karkardooma",77.3006287,28.6557549,Finger Food,600,No,No,3.2,31
Chawla's_,"Aditya Mega Mall, Karkardooma",77.3011977,28.6560516,"North Indian, Mughlai",800,Yes,Yes,3.4,32
Domino's Pizza,"Aditya Mega Mall, Karkardooma",77.30163370000001,28.6564531,"Pizza, Fast Food",700,No,No,2.8,83
Sultanat,"Aditya Mega Mall, Karkardooma",77.3016026,28.656262400000003,"North Indian, Chinese, Continental",1000,Yes,Yes,3.7,288
Bella Italia,Aerocity,77.087897,28.554463000000002,"Fast Food, Italian, Pizza",550,No,No,3.2,33
Clever Fox Cafe,Aerocity,77.120642,28.55169,"North Indian, Continental, Chinese",900,Yes,No,3.2,26
